antiga;nova;local
PAINEL MODULO CH3.2;PCT-CHC-1;SALA CHILLERS CHC-1
SELF1-1;CRAC1-1;Sala de Retificador 1
SELF1-2;CRAC1-2;Sala de Retificador 1
ATS-TX-02;ATS-TX2;Sala de Retificador 2
FCC-TX-01;DCS-TX1;Sala de Retificador 2
FCC-TX-02;DCS-TX2;Sala de Retificador 2
QA-FCC-TX-01;AP-DCS-TX1;Sala de Retificador 2
QA-FCC-TX-02;AP-DCS-TX2;Sala de Retificador 2
QBM-TX-01;EP-TX1;Sala de Retificador 2
QBM-TX-02;EP-TX2;Sala de Retificador 2
QDR - Instalado sem tag;EP-RR2-1;Sala de Retificador 2
QDR - Instalado sem tag;EP-RR2-2;Sala de Retificador 2
SELF2-1;CRAC2-1;Sala de Retificador 2
ATS-TX-01;ATS-TX1;Sala de Retificador 2
SELF2-2;CRAC2-2;Sala de Retificador 2
TR-TX-01;TR-TX1;Sala de Retificador 2
BB-TX-01-1;BB-TX-1-1;
BB-TX-01-2;BB-TX-1-2;
BB-TX-02-1;BB-TX-2-1;
BB-TX-02-2;BB-TX-2-2;
TR-TX-02;TR-TX2;
CRAC-TX-01;CRAC-TX-01;Sala TX B2B
HVAC 1 BT-1;FC1BT-1;
EX1-3-6;EX1-FL03-3-6;
EX1-GS-1;EX1-FL03-GS-1;
EX1-2-5;EX1-FL03-2-5;
EX1-2-5;EX1-FL03-2-5;
EX1-1-6;EX1-FL03-1-6;
EX1-2-5;EX1-FL03-2-5;
EX1-2-6;EX1-FL03-2-6;
EX1-3-5;EX1-FL03-3-5;
EX2-6-6;EX2-FL03-6-6;
EX2-1-5;EX2-FL03-1-5;
EX2-GS-1;EX2-FL03-GS-1;
EX2-6-5;EX2-FL03-6-5;
VI2-UT-1;VI2-UT-FL03-1;
HVAC 1 BT-2;FC1BT-2;
HVAC 1 UP-1;FC1UP-1;
HVAC 1 CR-1;FC1CR-1;
HVAC 1 CR-2;FC1CR-2;
HVAC 2 CR-1;FC2CR-1;
HVAC 1UP-2;FC1UP-2;
HVAC 2 UT-1;FC2UT-1;
HVAC 1 UT-3;FC1UT-3;
HVAC 1 UT-4;FC1UT-4;
HVAC 2 UT-2;FC2UT-2;
HVAC 1-6;FC1-6;
HVAC 2-5;FC2-5;
HVAC 1 UT-1;FC1UT-1;
HVAC 2 CR-2;FC2CR-2;
HVAC 1 UT-2;FC1UT-2;
HVAC 2 UT-3;FC2UT-3;
HVAC 2 UT-4;FC2UT-4;
HVAC 2 UT-5;FC2UT-5;
HVAC 1-5;FC1-5;
HVAC 2-6;FC2-6;
HVAC 3-5;FC3-5;
HVAC 3-6;FC3-6;
HVAC 6-5;FC6-5;
HVAC 6-6;FC6-6;
HVAC2-1-6;FC2-1-6;
HVAC2-6-6;FC2-6-6;
HVAC2-1-5;FC2-1-5;
HVAC2-BT-2;FC2BT-2;
HVAC2-6-5;FC26-5;
HVAC2-UP-2;FC2UP-2;
HVAC2-BT-1;FC2BT-1;
VI1 UP-1;FAN-UP1;
VI 1 2.1;FAN2-1;
VI 1 3.1;FAN3-1;
VI 1 4.1;FAN4-1;
VI 1 6.1;FAN6-1;
VI 1 UT-1;FAN-UT1;
VI2 UT-1;FAN-UT1;
VI 1 1.1;FAN1-1;
VI 2 BT-1;FAN-BT1;
EX1-1-5;EX1-FL03-1-5;
VI2-UP-1;VI2-UP-FL03-1;
HVAC2-UP-1;FC2UP-1;
;P1A;
;P1B;
;P1C;
;S1A;
;S1B;
VI 1 BT-1;FAN-BT1;
QA-40-1;AP-40-1;
QE-VEI-CR-1;EP-VEI-CR-1;
TBW2-2-3-2-D;TBW2-2-3-2-D;DataHall2
TBW2-2-2-2-D;TBW2-2-2-2-D;DataHall2
TBW2-2-4-2-A;TBW2-2-4-2-A;DataHall2
TBW2-2-1-2-C;TBW2-2-1-2-C;DataHall2
TBW2-2-4-2-B;TBW2-2-4-2-B;DataHall2
TBW2-2-4-2-C;TBW2-2-4-2-C;DataHall2
TBW2-1-3-2-D;TBW2-1-3-2-D;DataHall2
TBW2-2-4-2-D;TBW2-2-4-2-D;DataHall2
TBW2-2-1-2-D;TBW2-2-1-2-D;DataHall2
TBW2-2-3-2-A;TBW2-2-3-2-A;DataHall2
TBW2-2-3-2-B;TBW2-2-3-2-B;DataHall2
TBW2-2-3-2-C;TBW2-2-3-2-C;DataHall2
TBW2-1-2-2-C;TBW2-1-2-2-C;DataHall2
TBW2-1-2-2-D;TBW2-1-2-2-D;DataHall2
TBW2-1-1-2-C;TBW2-1-1-2-C;DataHall2
TBW2-1-1-2-D;TBW2-1-1-2-D;DataHall2
TBW2-1-4-2-A;TBW2-1-4-2-A;DataHall2
TBW2-1-4-2-B;TBW2-1-4-2-B;DataHall2
TBW2-1-4-2-C;TBW2-1-4-2-C;DataHall2
TBW2-1-4-2-D;TBW2-1-4-2-D;DataHall2
TBW2-1-3-2-A;TBW2-1-3-2-A;DataHall2
TBW2-1-3-2-B;TBW2-1-3-2-B;DataHall2
TBW2-1-3-2-C;TBW2-1-3-2-C;DataHall2
TBW2-2-2-2-C;TBW2-2-2-2-C;DataHall2
QCA-4PAV-04;ACP-FL04-4;SALA TI 001
QCA-4PAV-05A;ACP-FL04-5A;SALA TI 001
QCA-4PAV-06B;ACP-FL04-6B;SALA TI 001
QCA-4PAV-02;ACP-FL04-2;SALA TI 002
QCA-4PAV-03;ACP-FL04-3;SALA TI 002
QCA-4PMEZ-01;CCP-FL05-1;SALA TI 002
CP 3.1;CP2-1;MR3
BCO BAT PREDIAL 02;BB02-PRD;SALA NOC
BCO BAT UPS NOC 1 - 01;BB01-NOC01;SALA NOC
BCO BAT UPS NOC 1 - 02;BB02-NOC01;SALA NOC
BCO BAT UPS NOC 2 - 01;BB01-NOC02;SALA NOC
BCO BAT UPS NOC 2 - 02;BB02-NOC02;SALA NOC
BCO BAT PREDIAL 01;BB01-PRD;SALA NOC
STS01NOC;STS1-NOC;SALA NOC
STS02NOC;STS2-NOC;SALA NOC
UPS1-NOC;UPS1-NOC;SALA NOC
UPS2-NOC;UPS2-NOC;SALA NOC
UPS-PRD1;UPS1-GS;SALA NOC
QA-31;AP-31;Corredor Técnico
QCA-4PAV-03;CCP-FL04-3;CORREDOR A
QA-32;AP-32;Corredor Técnico
CDP1-2-1-5;PDU1-5-1-1;Data Hall 1
CDP1-1-2-1;PDU1-1-1-2;Data Hall 1
CDP1-1-2-2;PDU1-2-1-2;Data Hall 1
CDP1-1-2-3;PDU1-3-1-2;Data Hall 1
CDP1-1-2-4;PDU1-4-1-2;Data Hall 1
CDP1-2-1-1;PDU1-1-2-1;Data Hall 1
CDP1-2-1-2;PDU1-2-2-1;Data Hall 1
CDP1-2-1-3;PDU1-3-2-1;Data Hall 1
RPP1-1-1-1A;RPP1-1-1-1A;Data Hall 1
CDP1-1-1-5;PDU1-5-1-1;Data Hall 1
CDP1-2-2-1;PDU1-1-2-2;Data Hall 1
CDP1-2-2-2;PDU1-2-2-2;Data Hall 1
CDP1-2-2-3;PDU1-3-2-2;Data Hall 1
CDP1-1-2-5;PDU1-5-1-2;Data Hall 1
CDP1-1-1-2;PDU1-2-1-1;Data Hall 1
CDP1-1-1-3;PDU1-3-1-1;Data Hall 1
CDP1-1-1-4;PDU1-4-1-1;Data Hall 1
RPP1-1-1-1B;RPP1-1-1-1B;Data Hall 1
RPP1-1-2-1A;RPP1-1-1-2A;Data Hall 1
RPP1-1-1-2B;RPP1-2-1-1B;Data Hall 1
RPP1-1-2-2A;RPP1-2-1-2A;Data Hall 1
RPP1-1-1-3B;RPP1-3-1-1B;Data Hall 1
RPP1-1-2-3A;RPP1-3-1-2A;Data Hall 1
RPP1-1-1-4B;RPP1-4-1-1B;Data Hall 1
RPP1-1-2-4A;RPP1-4-1-2A;Data Hall 1
RPP1-1-1-5B;RPP1-5-1-1B;Data Hall 1
RPP1-1-2-5A;RPP1-5-1-2A;Data Hall 1
RPP1-1-2-1B;RPP1-1-1-2B;Data Hall 1
RPP1-2-1-1A;RPP1-1-2-1A;Data Hall 1
RPP1-1-2-2B;RPP1-2-1-2B;Data Hall 1
RPP1-2-1-2A;RPP1-2-2-1A;Data Hall 1
RPP1-1-2-3B;RPP1-3-1-2B;Data Hall 1
RPP1-2-1-3A;RPP1-3-2-1A;Data Hall 1
RPP1-1-2-4B;RPP1-4-1-2B;Data Hall 1
RPP1-1-1-5A;RPP1-5-1-1A;Data Hall 1
RPP1-1-2-5B;RPP1-5-1-2B;Data Hall 1
RPP1-2-1-5A;RPP1-5-2-1A;Data Hall 1
RPP1-2-1-1B;RPP1-1-2-1B;Data Hall 1
RPP1-2-2-1A;RPP1-1-2-2A;Data Hall 1
RPP1-2-1-2B;RPP1-2-2-1B;Data Hall 1
RPP1-2-2-2A;RPP1-2-2-2A;Data Hall 1
RPP1-2-1-3B;RPP1-3-2-1B;Data Hall 1
RPP1-2-2-3A;RPP1-3-2-2A;Data Hall 1
RPP1-2-1-5B;RPP1-5-2-1B;Data Hall 1
RPP1-2-2-5A;RPP1-5-2-2A;Data Hall 1
RPP1-2-2-1B;RPP1-1-2-2B;Data Hall 1
RPP1-1-1-2A;RPP1-2-1-1A;Data Hall 1
RPP1-2-2-2B;RPP1-2-2-2B;Data Hall 1
RPP1-1-1-3A;RPP1-3-1-1A;Data Hall 1
RPP1-2-2-3B;RPP1-3-2-2B;Data Hall 1
RPP1-1-1-4A;RPP1-4-1-1A;Data Hall 1
RPP1-2-2-5B;RPP1-5-2-2B;Data Hall 1
CDP1-1-1-1;PDU1-1-1-1;Data Hall 1 
ACDP-CH1-2B;DP1-1-CRAH-TA-S2 ;DH1 CORREDOR A
ACDP-CH1-1B;DP1-2-CRAH-TA-S2 ;DH1 CORREDOR A
ACDP-CH1-2A;DP1-2-CRAH-TA-S1 ;DH1 CORREDOR A
ATS-ACDP-CH1-1B;ATS-DP1-1CRAH-TA-S2 ;DH1 CORREDOR A
ATS-ACDP-CH1-2A;ATS-DP1-2CRAH-TA-S1 ;DH1 CORREDOR A
ATS-ACDP-CH1-2B;ATS-DP1-2CRAH-TA-S2 ;DH1 CORREDOR A
CRAH 1.A.1;CRAH1-A01;DH1 CORREDOR A
CRAH 1.A.2;CRAH1-A02;DH1 CORREDOR A
CRAH 1.A.11;CRAH1-A11;DH1 CORREDOR A
CRAH 1.A.12;CRAH1-A12;DH1 CORREDOR A
CRAH 1.A.13;CRAH1-A13;DH1 CORREDOR A
CRAH 1.A.14;CRAH1-A14;DH1 CORREDOR A
CRAH 1.A.15;CRAH1-A15;DH1 CORREDOR A
CRAH 1.A.16;CRAH1-A16;DH1 CORREDOR A
CRAH 1.A.17;CRAH1-A17;DH1 CORREDOR A
CRAH 1.A.18;CRAH1-A18;DH1 CORREDOR A
CRAH 1.A.19;CRAH1-A19;DH1 CORREDOR A
CRAH 1.A.20;CRAH1-A20;DH1 CORREDOR A
CRAH 1.A.3;CRAH1-A03;DH1 CORREDOR A
CRAH 1.A.21;CRAH1-A21;DH1 CORREDOR A
CRAH 1.A.22;CRAH1-A22;DH1 CORREDOR A
CRAH 1.A.23;CRAH1-A23;DH1 CORREDOR A
CRAH 1.A.24;CRAH1-A24;DH1 CORREDOR A
CRAH 1.A.4;CRAH1-A04;DH1 CORREDOR A
CRAH 1.A.5;CRAH1-A05;DH1 CORREDOR A
CRAH 1.A.6;CRAH1-A06;DH1 CORREDOR A
CRAH 1.A.7;CRAH1-A07;DH1 CORREDOR A
CRAH 1.A.8;CRAH1-A08;DH1 CORREDOR A
CRAH 1.A.9;CRAH1-A09;DH1 CORREDOR A
CRAH 1.A.10;CRAH1-A10;DH1 CORREDOR A
ATS-ACDP-CH1-1A;ATS-DP1-1CRAH-TA-S1 ;DH1 CORREDOR A
ACDP-CH1-1A;DP1-1-CRAH-TA-S1 ;DH1 CORREDOR A
QA-34;AP-34;Corredor Técnico
QLF-DH-1-1-1;LPP-DH1-1-1;Corredor Técnico
QA-33;AP-33;Corredor Técnico
QLF-DH-1-1-2;LPP-DH1-1-2;Corredor Técnico
QLF-DH-1-2-1;LPP-DH1-2-1;Corredor Técnico
QLF-DH-1-2-2;LPP-DH1-2-2;Corredor Técnico
CDP1-1-3-5;PDU1-5-1-3;Data Hall 1
CDP1-1-4-1;PDU1-1-1-4;Data Hall 1
CDP1-1-4-2;PDU1-2-1-4;Data Hall 1
CDP1-1-4-3;PDU1-3-1-4;Data Hall 1
CDP1-1-4-4;PDU1-4-1-4;Data Hall 1
CDP1-1-4-5;PDU1-5-1-4;Data Hall 1
CDP1-2-3-1;PDU1-1-2-3;Data Hall 1
CDP1-2-3-2;PDU1-2-2-3;Data Hall 1
CDP1-2-3-3;PDU1-3-2-3;Data Hall 1
RPP1-1-3-1A;RPP1-1-1-3A;Data Hall 1
CDP1-2-3-5;PDU1-5-2-3;Data Hall 1
CDP1-2-4-1;PDU1-1-2-4;Data Hall 1
CDP1-2-4-2;PDU1-2-2-4;Data Hall 1
CDP1-2-4-3;PDU1-3-2-4;Data Hall 1
CDP1-2-4-5;PDU1-5-2-4;Data Hall 1
CDP1-1-3-2;PDU1-2-1-3;Data Hall 1
CDP1-1-3-3;PDU1-3-1-3;Data Hall 1
CDP1-1-3-4;PDU1-4-1-3;Data Hall 1
CDP1-1-3-1;PDU1-1-1-3;Data Hall 1
RPP1-1-3-1B;RPP1-1-1-3B;Data Hall 1
RPP1-1-4-1A;RPP1-1-1-4A;Data Hall 1
RPP1-1-3-2B;RPP1-2-1-3B;Data Hall 1
RPP1-1-4-2A;RPP1-2-1-4A;Data Hall 1
RPP1-1-3-3B;RPP1-3-1-3B;Data Hall 1
RPP1-1-4-3A;RPP1-3-1-4A;Data Hall 1
RPP1-1-3-4B;RPP1-4-1-3B;Data Hall 1
RPP1-1-4-4A;RPP1-4-1-4A;Data Hall 1
RPP1-1-3-5B;RPP1-5-1-3B;Data Hall 1
RPP1-1-4-5A;RPP1-5-1-4A;Data Hall 1
RPP1-1-4-1B;RPP1-1-1-4B;Data Hall 1
RPP1-2-3-1A;RPP1-1-2-3A;Data Hall 1
RPP1-1-4-2B;RPP1-2-1-4B;Data Hall 1
RPP1-2-3-2A;RPP1-2-2-3A;Data Hall 1
RPP1-1-4-3B;RPP1-3-1-4B;Data Hall 1
RPP1-2-3-3A;RPP1-3-2-3A;Data Hall 1
RPP1-1-4-4B;RPP1-4-1-4B;Data Hall 1
RPP1-1-3-5A;RPP1-5-1-3A;Data Hall 1
RPP1-1-4-5B;RPP1-5-1-4B;Data Hall 1
RPP1-2-3-5A;RPP1-5-2-3A;Data Hall 1
RPP1-2-3-1B;RPP1-1-2-3B;Data Hall 1
RPP1-2-4-1A;RPP1-1-2-4A;Data Hall 1
RPP1-2-3-2B;RPP1-2-2-3B;Data Hall 1
RPP1-2-4-2A;RPP1-2-2-4A;Data Hall 1
RPP1-2-3-3B;RPP1-3-2-3B;Data Hall 1
RPP1-2-4-3A;RPP1-3-2-4A;Data Hall 1
RPP1-2-3-5B;RPP1-5-2-3B;Data Hall 1
RPP1-2-4-5A;RPP1-5-2-4A;Data Hall 1
RPP1-2-4-1B;RPP1-1-2-4B;Data Hall 1
RPP1-1-3-2A;RPP1-2-1-3A;Data Hall 1
RPP1-2-4-2B;RPP1-2-2-4B;Data Hall 1
RPP1-1-3-3A;RPP1-3-1-3A;Data Hall 1
RPP1-2-4-3B;RPP1-3-2-4B;Data Hall 1
RPP1-1-3-4A;RPP1-4-1-3A;Data Hall 1
RPP1-2-4-5B;RPP1-5-2-4B;Data Hall 1
ACDP-CH2-1B;DP1-3-CRAH-TA-S2 ;DH1 CORREDOR B
ACDP-CH3-2A;DPC-1-CRAH-TA-S1 ;DH1 CORREDOR B
ACDP-CH3-2B;DPC-1-CRAH-TA-S2 ;DH1 CORREDOR B
ATS-ACDP-CH2-1B;ATS-DP1-3CRAH-TA-S2 ;DH1 CORREDOR B
ATS-ACDP-CH3-2-1B;ATS-DPC-1CRAH-TA-S1 ;DH1 CORREDOR B
ATS-ACDP-CH3-2-2B;ATS-DPC-1CRAH-TA-S2 ;DH1 CORREDOR B
CRAH 1.B.1;CRAH1-B01;DH1 CORREDOR B
CRAH 1.B.2;CRAH1-B02;DH1 CORREDOR B
CRAH 1.B.11;CRAH1-B11;DH1 CORREDOR B
CRAH 1.B.12;CRAH1-B12;DH1 CORREDOR B
CRAH 1.B.13;CRAH1-B13;DH1 CORREDOR B
CRAH 1.B.14;CRAH1-B14;DH1 CORREDOR B
CRAH 1.B.15;CRAH1-B15;DH1 CORREDOR B
CRAH 1.B.16;CRAH1-B16;DH1 CORREDOR B
CRAH 1.B.17;CRAH1-B17;DH1 CORREDOR B
CRAH 1.B.18;CRAH1-B18;DH1 CORREDOR B
CRAH 1.B.19;CRAH1-B19;DH1 CORREDOR B
CRAH 1.B.20;CRAH1-B20;DH1 CORREDOR B
CRAH 1.B.3;CRAH1-B03;DH1 CORREDOR B
CRAH 1.B.21;CRAH1-B21;DH1 CORREDOR B
CRAH 1.B.22;CRAH1-B22;DH1 CORREDOR B
CRAH 1.B.23;CRAH1-B23;DH1 CORREDOR B
CRAH 1.B.24;CRAH1-B24;DH1 CORREDOR B
CRAH 1.B.4;CRAH1-B04;DH1 CORREDOR B
CRAH 1.B.5;CRAH1-B05;DH1 CORREDOR B
CRAH 1.B.6;CRAH1-B06;DH1 CORREDOR B
CRAH 1.B.7;CRAH1-B07;DH1 CORREDOR B
CRAH 1.B.8;CRAH1-B08;DH1 CORREDOR B
CRAH 1.B.9;CRAH1-B09;DH1 CORREDOR B
CRAH 1.B.10;CRAH1-B10;DH1 CORREDOR B
ATS-ACDP-CH2-1A;ATS-DP1-3CRAH-TA-S1 ;DH1 CORREDOR B
ACDP-CH2-1A;DP1-3-CRAH-TA-S1 ;DH1 CORREDOR B
QA-37;AP-37;Corredor Técnico
QA-38;AP-38;Corredor Técnico
QA-47;AP-47;Corredor Técnico
CDP2-1-3-1;PDU2-1-1-3;Data Hall 2
CDP2-1-4-1;PDU2-1-1-4;Data Hall 2
CDP2-2-3-1;PDU2-1-2-3;Data Hall 2
CDP2-2-4-1;PDU2-1-2-4;Data Hall 2
RPP2-1-3-1A;RPP2-1-1-3A;Data Hall 2
RPP2-1-3-1B;RPP2-1-1-3B;Data Hall 2
RPP2-1-3-1C;RPP2-1-1-3C;Data Hall 2
RPP2-1-3-1D;RPP2-1-1-3D;Data Hall 2
RPP2-1-4-1A;RPP2-1-1-4A;Data Hall 2
RPP2-1-4-1B;RPP2-1-1-4B;Data Hall 2
RPP2-1-4-1C;RPP2-1-1-4C;Data Hall 2
RPP2-2-3-1A;RPP2-1-2-3A;Data Hall 2
RPP2-2-3-1B;RPP2-1-2-3B;Data Hall 2
RPP2-2-3-1C;RPP2-1-2-3C;Data Hall 2
RPP2-2-4-1B;RPP2-1-2-4B;Data Hall 2
RPP2-2-4-1C;RPP2-1-2-4C;Data Hall 2
RPP2-2-4-1A;RPP2-1-2-4A;Data Hall 2
CDP2-1-2-1;PDU2-1-1-2;Data Hall 2
CDP2-2-2-2;PDU2-2-2-2;Data Hall 2.2
CDP2-2-4-2;PDU2-2-2-4;Data Hall 2.2
CDP2-1-3-2;PDU2-2-1-3;Data Hall 2.2
CDP2-1-1-2;PDU2-2-1-1;Data Hall 2.2
RPP2-2-2-2A;RPP2-2-2-2A;Data Hall 2.2
RPP2-2-2-2B;RPP2-2-2-2B;Data Hall 2.2
RPP2-1-1-2B;RPP2-2-1-1B;Data Hall 2.2
RPP2-1-1-2A;RPP2-2-1-1A;Data Hall 2.2
C04015CRAH2C01;CRAH2-C01;DH2 CORREDOR C
C04015CRAH2C04;CRAH2-C04;DH2 CORREDOR C
C04015CRAH2C03;CRAH2-C03;DH2 CORREDOR C
C04015CRAH2C21;CRAH2-C21;DH2 CORREDOR C
C04015CRAH2C22;CRAH2-C22;DH2 CORREDOR C
C04015CRAH2C23;CRAH2-C23;DH2 CORREDOR C
C04015CRAH2C24;CRAH2-C24;DH2 CORREDOR C
;CRAH2-C07;DH2 CORREDOR C
ATS-ACDP-CH5-1A;ATS-DPC-2CRAH-TA-S1;DH2 CORREDOR C
ACDP-CH6-1A;DP2-1-CRAH-TA-S1 ;DH2 CORREDOR C
;CRAH2-C08;DH2 CORREDOR C
;CRAH2-C09;DH2 CORREDOR C
;CRAH2-C10;DH2 CORREDOR C
;CRAH2-C12;DH2 CORREDOR C
C04015CRAH2C02;CRAH2-C02;DH2 CORREDOR C
PDU2-1-3-2;PDU2-1-3-2;
QCA-4PAV-06;CCP-FL04-6;CORREDOR D
QA-35;AP-35;Corredor Técnico
QA-36;AP-36;Corredor Técnico
QA-48;AP-48;Corredor Técnico
RPP2-1-1-1A;RPP2-1-1-1A;Data Hall 2
RPP2-1-1-1B;RPP2-1-1-1B;Data Hall 2
RPP2-1-1-1C;RPP2-1-1-1C;Data Hall 2
RPP2-1-1-1D;RPP2-1-1-1D;Data Hall 2
RPP2-1-2-1A;RPP2-1-1-2A;Data Hall 2
RPP2-1-2-1B;RPP2-1-1-2B;Data Hall 2
RPP2-1-2-1C;RPP2-1-1-2C;Data Hall 2
RPP2-2-1-1A;RPP2-1-2-1A;Data Hall 2
RPP2-2-1-1B;RPP2-1-2-1B;Data Hall 2
RPP2-2-1-1C;RPP2-1-2-1C;Data Hall 2
RPP2-2-1-1D;RPP2-1-2-1D;Data Hall 2
RPP2-2-2-1B;RPP2-1-2-2B;Data Hall 2
RPP2-2-2-1C;RPP2-1-2-2C;Data Hall 2
RPP2-2-2-1A;RPP2-1-2-2A;Data Hall 2
CDP2-1-2-2;PDU2-2-1-2;Data Hall 2.2
CDP2-1-4-2;PDU2-2-1-4;Data Hall 2.2
CDP2-2-1-2;PDU2-2-2-1;Data Hall 2.2
CDP2-2-3-2;PDU2-2-2-3;Data Hall 2.2
RPP2-2-1-2B;RPP2-2-2-1B;Data Hall 2.2
RPP2-1-2-2B;RPP2-2-1-2B;Data Hall 2.2
RPP2-2-1-2A;RPP2-2-2-1A;Data Hall 2.2
ATS-ACDP-CH6-2B;ATS-DP2-1CRAH-TA-S2 ;DH2 CORREDOR D
C04013CRAH2D01;CRAH2-D01;DH2 CORREDOR D
C04013CRAH2D02;CRAH2-D02;DH2 CORREDOR D
C04013CRAH2D03;CRAH2-D03;DH2 CORREDOR D
C04013CRAH2D04;CRAH2-D04;DH2 CORREDOR D
C04013CRAH2D21;CRAH2-D21;DH2 CORREDOR D
C04013CRAH2D22;CRAH2-D22;DH2 CORREDOR D
C04013CRAH2D23;CRAH2-D23;DH2 CORREDOR D
C04013CRAH2D24;CRAH2-D24;DH2 CORREDOR D
;CRAH2-D07;DH2 CORREDOR D
CDP2-2-1-1;PDU2-1-2-1;DH2 CORREDOR D
CDP2-2-2-1;PDU2-1-2-2;DH2 CORREDOR D
ATS-ACDP-CH6-1A;ATS-DP2-1CRAH-TA-S1 ;DH2 CORREDOR D
ACDP-CH6-2B;DP2-1-CRAH-TA-S2 ;DH2 CORREDOR D
;CRAH2-D08;DH2 CORREDOR D
;CRAH2-D09;DH2 CORREDOR D
;CRAH2-D10;DH2 CORREDOR D
;CRAH2-D11;DH2 CORREDOR D
CDP2-1-1-1;PDU2-1-1-1;DH2 CORREDOR D
CA;ACP-FL04-TA-D;
ATS-ACDP-CH5-2B;ATS-DP-CH5-2B;
ACDP-CH5-2B;DP-CH5-2B;
CRAC-TX-02;CRAC-TX-02;Sala TX B2B
QDF-500-A1-48V;PDP-500-A1-48V;
HVAC-NOC-1P2;HVAC-FL04-NOC-1P2;
HVAC 1 A-27;FC1A-27;
HVAC 1 B-26;FC1B-26;
 HVAC 1 B-27;FC1B-27;
HVAC 1 C-2;FC1C-2;
HVAC 1 C-3;FC1C-3;
HVAC 1 C-4;FC1C-4;
HVAC 1 C-5;FC1C-5;
HVAC 1 C-6;FC1C-6;
HVAC 1 LB-1;FC1LB-1;
HVAC 1P-2;FC1P-2;
HVAC 1P-3;FC1P-3;
HVAC 1 C-1;FC1C-1;
;FCNOC1P-1;
;FCC-26;
HVAC-D-27;HVAC-FL04-D-27;
HVAC-C-26;HVAC-FL04-C-26;
HVAC 1 A-26;FC1A-26;
HVAC-D-26;HVAC-FL04-D-26;
VAV-2-1P1;VAV-2-FL04-1P1;
HVAC-NOC-1P1;HVAC-FL04-NOC-1P1;
VAV-11-1P2;VAV-11-FL04-1P2;
VAV-11-1P3;VAV-11-FL04-1P3;
VAV-11-1P4;VAV-11-FL04-1P4;
HVAC-C-27;HVAC-FL04-C-27;
VAV-11-1P1;VAV-11-FL04-1P1;
VAV-2-1P10;VAV-2-FL04-1P10;
VAV-1-1P4;VAV-1-FL04-1P4;
VAV-1-1P5;VAV-1-FL04-1P5;
VAV-1-1P6;VAV-1-FL04-1P6;
VAV-1-1P7;VAV-1-FL04-1P7;
VAV-11-1P5;VAV-11-FL04-1P5;
VAV-2-1P2;VAV-2-FL04-1P2;
VAV-2-1P3;VAV-2-FL04-1P3;
VAV-3-1p1;VAV-3-FL04-1P1;
VAV-1-1p3;VAV-1-FL04-1P3;
VAV-1-1P1;VAV-1-FL04-1P1;
VAV-2-1P4;VAV-2-FL04-1P4;
VAV-2-1P5;VAV-2-FL04-1P5;
VAV-2-1P6;VAV-2-FL04-1P6;
VAV-2-1P7;VAV-2-FL04-1P7;
VAV-2-1p9;VAV-2-FL04-1P9;
VAV-2-1p11;VAV-2-FL04-1P11;
VAV-2-1p8;VAV-2-FL04-1P8;
VAV-2-1p12;VAV-2-FL04-1P12;
VI 1P 1;FAN1P-1;
;FCNOC1P-2;
HVAC 1 EN-1;FC1EN-1;
;FCC-27;
;FCD-26;
;FCD-27;
;VIDEO-WALL;
;FC1P-1;
;FC1P-1;
;FCMEZ-1;
